Order,Filename,Section,Chapter directory,Included in GitHub,Alt Text,Artist,Artist Contact/Portfolio,Rights,File path,Width,Alignment
39,Gear.png,Adventuring Gear,03_Creating_a_Character,FALSE,"potion, full helm, sword, and shield",The Basic Expert,https://thebasicexpert.com/,"Gear.png  © 2025 by The Basic Expert (https://thebasicexpert.com/) is licensed under Creative Commons Attribution 4.0 International. To view a copy of this license, visit https://creativecommons.org/licenses/by/4.0/",assets/images/Characters_Codex/03_Creating_a_Character/Gear.png,,
40,steampunk-33459_2.png,Tools,03_Creating_a_Character,FALSE,wooden device holding a potion bottle,Public Domain,,"steampunk-33459_2.png is marked CC0 1.0 Universal. To view a copy of this mark, visit https://creativecommons.org/publicdomain/zero/1.0/",assets/images/Characters_Codex/03_Creating_a_Character/steampunk-33459_2.png,,
41,warrior on elephant-5268257.png,Mounts and Vehicles,03_Creating_a_Character,FALSE,person riding an elephant holding a 2-pronged spear and curved sword,Public Domain,,"warrior on elephant-5268257.png is marked CC0 1.0 Universal. To view a copy of this mark, visit https://creativecommons.org/publicdomain/zero/1.0/",assets/images/Characters_Codex/03_Creating_a_Character/warrior on elephant-5268257.png,,
42,Hagil Thorinsond free5e - Adrian Arduini Adventures_2.png,Roleplay,04_Adventuring,FALSE,masculine dwarf bartender smiling and cleaning a stein. Bottles in background. Brick circular frame.,Adrian Arduini,https://legacy.drivethrurpg.com/browse/pub/16116/Adrian-Arduini,"Hagil Thorinsond free5e - Adrian Arduini Adventures_2.png © 2025 Wyrmworks Publishing by Adrian Arduini (https://legacy.drivethrurpg.com/browse/pub/16116/Adrian-Arduini) is licensed under Creative Commons Attribution 4.0 International. To view a copy of this license, visit https://creativecommons.org/licenses/by/4.0/",assets/images/Characters_Codex/04_Adventuring/Hagil Thorinsond free5e - Adrian Arduini Adventures_2.png,,
43,Cleresia_2025_11_22_13_17_edge.png,Exploration,04_Adventuring,FALSE,small silhouette of a person approaching a mountain valley with a cottage in the center,Public Domain,,"Cleresia_2025_11_22_13_17_edge.png is marked CC0 1.0 Universal. To view a copy of this mark, visit https://creativecommons.org/publicdomain/zero/1.0/",assets/images/Characters_Codex/04_Adventuring/Cleresia_2025_11_22_13_17_edge.png,,
44,animal-1299530.png,Movement,04_Adventuring,FALSE,2 camels pulling a wagon with straw mats covering it,Public Domain,,"animal-1299530.png is marked CC0 1.0 Universal. To view a copy of this mark, visit https://creativecommons.org/publicdomain/zero/1.0/",assets/images/Characters_Codex/04_Adventuring/animal-1299530.png,,
45,mountains-4065523.png,The Environment,04_Adventuring,FALSE,"circular image of mountains, dark sky with stars, planets, comet",Public Domain,,"mountains-4065523.png is marked CC0 1.0 Universal. To view a copy of this mark, visit https://creativecommons.org/publicdomain/zero/1.0/",assets/images/Characters_Codex/04_Adventuring/mountains-4065523.png,,
46,Ankheg attack - Adrian Arduini Adventures_2.png,Combat,04_Adventuring,FALSE,"an ankheg attacking an armored dwarven warrior, elven archer, and a bearded elven wizard",Adrian Arduini,https://legacy.drivethrurpg.com/browse/pub/16116/Adrian-Arduini,"Ankheg attack - Adrian Arduini Adventures_2.png © 2025 Wyrmworks Publishing by Adrian Arduini (https://legacy.drivethrurpg.com/browse/pub/16116/Adrian-Arduini) is licensed under Creative Commons Attribution 4.0 International. To view a copy of this license, visit https://creativecommons.org/licenses/by/4.0/",assets/images/Characters_Codex/04_Adventuring/Ankheg attack - Adrian Arduini Adventures_2.png,,
47,knight-6204325.png,Mounted Combat,04_Adventuring,FALSE,knight in full plate on barded horse charging with a lance,Public Domain,,"knight-6204325.png is marked CC0 1.0 Universal. To view a copy of this mark, visit https://creativecommons.org/publicdomain/zero/1.0/",assets/images/Characters_Codex/04_Adventuring/knight-6204325.png,,
48,Darued the sorcerer - Adrian Arduini Adventures.png,Spellcasting,06_Spellcasting,FALSE,"bald masculine human magician with Egyptian-style goatee and caped tunic leaning on table with scrolls (one open), candle, and quill in inkwell. A goblin peeks out from behind the table.",Adrian Arduini,https://legacy.drivethrurpg.com/browse/pub/16116/Adrian-Arduini,"Darued the sorcerer - Adrian Arduini Adventures.png © 2025 Wyrmworks Publishing by Adrian Arduini (https://legacy.drivethrurpg.com/browse/pub/16116/Adrian-Arduini) is licensed under Creative Commons Attribution 4.0 International. To view a copy of this license, visit https://creativecommons.org/licenses/by/4.0/",assets/images/Characters_Codex/06_Spellcasting/Darued the sorcerer - Adrian Arduini Adventures.png,,
49,horror-4582568.png,Spell - Animate Dead,06_Spellcasting,FALSE,shambling zombie with big eyes,Public Domain,,"horror-4582568.png is marked CC0 1.0 Universal. To view a copy of this mark, visit https://creativecommons.org/publicdomain/zero/1.0/",assets/images/Characters_Codex/06_Spellcasting/horror-4582568.png,,
50,Roselysium_ArcaneSword_Greyscale_2.png,Spell - Arcane Sword,06_Spellcasting,FALSE,"Depiction of the Spell ""Arcane Sword"". - A glowing sword is hovering over an outstretched hand.",Roselysium,https://roselysium.carrd.co/,"Roselysium_ArcaneSword_Greyscale_2.png © 2025 Wyrmworks Publishing by Roselysium (https://roselysium.carrd.co/) is licensed under Creative Commons Attribution 4.0 International. To view a copy of this license, visit https://creativecommons.org/licenses/by/4.0/",assets/images/Characters_Codex/06_Spellcasting/Roselysium_ArcaneSword_Greyscale_2.png,,
51,tentacles-6137610.png,Spell - Black Tentacles,06_Spellcasting,FALSE,3 black suckered tentacles,Public Domain,,"tentacles-6137610.png is marked CC0 1.0 Universal. To view a copy of this mark, visit https://creativecommons.org/publicdomain/zero/1.0/",assets/images/Characters_Codex/06_Spellcasting/tentacles-6137610.png,,
